t0,n,tasa_canje_1m,tasa_canje_12m,gasto_avg,stock_avg,t0_label
1672531200000000000,5008.0,2.376198083067093,18.091054313099043,1848873.8510383386,3838.156549520767,Jan-23
1675209600000000000,5008.0,2.5359424920127793,17.871405750798722,1855125.4454872205,3815.6843051118212,Feb-23
1677628800000000000,5008.0,4.213258785942492,17.791533546325876,1870942.1044329074,3792.9666533546324,Mar-23
1680307200000000000,5008.0,2.07667731629393,17.811501597444092,1883698.6489616614,3727.6499600638977,Apr-23
1682899200000000000,5008.0,2.615814696485623,17.691693290734825,1884402.5523162938,3785.0133785942494,May-23
1685577600000000000,5008.0,2.476038338658147,17.452076677316295,1888838.4532747604,3637.963658146965,Jun-23
1688169600000000000,5008.0,3.0950479233226837,17.13258785942492,1892913.6206070287,3671.575479233227,Jul-23
1690848000000000000,5008.0,2.4361022364217253,16.992811501597444,1860214.6665335463,3585.265575079872,Aug-23
1693526400000000000,5008.0,2.1765175718849843,17.272364217252395,1858820.1277955272,3508.218051118211,Sep-23
1696118400000000000,5008.0,2.196485623003195,17.55191693290735,1868323.4237220448,3469.4007587859423,Oct-23
1698796800000000000,5008.0,2.3362619808306713,17.711661341853034,1888885.7825479233,3475.9185303514378,Nov-23
1701388800000000000,5008.0,3.0551118210862622,17.871405750798722,1877101.1393769968,3407.348642172524,Dec-23
1704067200000000000,5008.0,2.31629392971246,17.931309904153355,1865587.0740814696,3317.2186501597444,Jan-24
1706745600000000000,5008.0,2.31629392971246,17.85143769968051,1889538.9608626198,3308.290734824281,Feb-24
1709251200000000000,5008.0,4.193290734824282,18.210862619808307,1915364.903154952,3342.244608626198,Mar-24
1711929600000000000,5008.0,1.9768370607028753,18.430511182108624,1921091.54293131,3245.7943290734825,Apr-24
1714521600000000000,5008.0,2.07667731629393,18.869808306709267,1941811.1875,3223.0980431309904,May-24
1717200000000000000,5008.0,2.216453674121406,19.129392971246006,1972955.5910543131,3260.3348642172523,Jun-24
1719792000000000000,5008.0,2.096645367412141,19.488817891373802,1998272.2274361022,3372.8809904153354,Jul-24
1722470400000000000,5008.0,2.77555910543131,19.828274760383387,2008699.3047124601,3473.916733226837,Aug-24
1725148800000000000,5008.0,2.496006389776358,19.64856230031949,2032977.714456869,3381.2615814696487,Sep-24
1727740800000000000,5008.0,2.2364217252396164,19.628594249201278,2056698.653154952,3358.479233226837,Oct-24
1730419200000000000,5008.0,2.5359424920127793,19.94808306709265,2089797.1569488817,3448.84964057508,Nov-24
1733011200000000000,5008.0,3.0551118210862622,19.788338658146966,2094389.715255591,3434.3670127795526,Dec-24
1735689600000000000,5008.0,2.5359424920127793,20.36741214057508,2152531.287539936,3477.9822284345046,Jan-25
1738368000000000000,5008.0,3.2348242811501593,20.866613418530353,2177954.7763578277,3409.3738019169327,Feb-25
1740787200000000000,5008.0,4.432907348242812,21.126198083067095,2192753.670327476,3417.7963258785944,Mar-25
